lyric,class
Can't drink without thinkin' about you,1
Now Lil Pump flyin' private jet (Yuh),0
"No, matter fact, you ain't help me when I had no money",0
"And you could find me, I ain't hidin'",0
From the way you talk to the way you move,1
Something happens when I hold him,1
"Knots (Mops), rocks (Rocks)",0
Don't you know that you're bad for me?,1
Was expectin' the box to pull up on a truck,0
"Bones are good, the rest, the rest don't matter (Ooh)",1
Used to look up to a man from certain ends with tune on repeat,0
"Flex, time to impress",1
"She on go, your b**** for the team, uh (Lil' b****)",0
God knows I try to feel happy for you,1
"Ohm, like Buddha",1
This that different latitude,0
"Oh, it's such a shame",1
"He got that, mm, green eyes, givin' me signs",1
First in my life you've got the upper hand Lord,1
"My ex girl, she just declared war",0
Don't waste time with a masterpiece (Huh),1
"Gunner? b****, you ain't a bow and arrow",0
Stray bullet hit a young boy with a snotty nose,0
I could fly home (Yeah) with my eyes closed (Yeah),0
Who woulda thought it'd turn me to a savage?,1
"Bustas knocking on me, tryna weave with anacondas (Fire)",0
"And still, I'll book you for a show and get you showed in this b****",0
Let me love you,1
"New b**** wanna f*** to my AP (AP, ice)",0
(Rocco lo hizo otra vez),0
"Grandma told me, ""Get your money""",0
(Are we out of the woods?),1
You're on your level too,0
"Yeah, you used to look in my eyes, now you look away, oh",1
"Man, where these n****s at? Man, where these n****s at?",0
We were searching for OZ,1
"Too many girls 'posed to call back, I got 'em all in line, they fiendin', yeah",0
No one else gon' get it like that,1
Standing near you,1
But you had to go and mess it up,1
"He like, ""d***, he a younger me",0
Why n****s still bluffin? I still haven't seen nothin' (Where he at?),0
"Been through some bad s***, I should be a sad b****",1
"Listen to me, don't drive away (Don't drive away)",0
"Brand new car is noisy, come through and it's roarin' (Skrrt)",0
Ran out the door,0
"Bougie, he say the way that thang move it's a movie",0
Remember who took you there first and don't you forget it,0
"Need a bartender, put me out my sorrow",0
"Messing with my head, oh",1
I don't know 'bout you but it ain't a crime,1
Put it on her feet and I glide,0
"Without you, yeah (Hey!)",1
Down to my core,0
I got murder on my mind (On my mind),0
"Je dois me faire les cheveux, me maquiller",1
"I knew, I knew, yeah, I knew",0
"Heard you say I'm not the baddest, b****, you lie (You lie)",1
"Yellow tape around his body, it's a f***ing homicide",0
"'Cause my doors are suicide, yeah",0
Get a new h* and have me a baby (Baby),0
"Still in the hood, I can never get cocky",0
"She like to do drugs too, she in love with guns too",0
Lil mama said she only f***in' on a rich d***,0
Like the last motherf***er sayin' Hailie in vain,0
Virgil was sending me drip just to see if I like it or rockin' with it,0
"But now that I've been through it, I'm stuck in a good place",1
What a man gotta say? (What a man gotta say?),1
Is it real now?,1
"Yeah, yeah, yeah, go, go away",0
"I sleep until noon, I wake up and feel bad",1
"EST captain, salute me or shoot me",0
Walk it like I talk it (ayy),0
"We are, we are, we are",1
"Yeah, a n**** like me fill my pocket (Fill my pocket)",0
"You ain't gotta make it easy, where you been sleepin'?",1
"(Highs, highs, highs, highs, lows, lows, lows, lows)",1
I'ma show you how to get it,0
"Oh no, I was doing better alone",1
"On a yacht catchin' fish, we don't get catfished",1
I make her drop it and pop it and work it on my nose,0
"d***, baby, I want what you got",1
"Turned all my L's into lessons (Hey, hey, hey, hey, hey)",0
I know shorty and she doesn't want no slow song,0
"Tell me, tell me, would you want me? (Want me)",1
She gon' act like she don't know me,1
"But I'd rather be a real nightmare, than die unaware, yeah",1
"Everything I been through, it's something only I know",0
"Gold up in my, gold up in my teeth",1
"Baby, we're the new romantics",1
Longing for you to come home,1
"Stabbed in the back; brimstone, fire jumping through",1
"The way I approached the game, it seem that I'm hard",0
"Feel my blood runnin', swear the sky's fallin'",1
She wanna f*** with the Woo,0
Party gon' end with a threesome (Threesome),0
All these questions they're for real,1
"(Yeah, yeah, yeah) Shame on you (Yeah)",0
"Yeah, whole lot of, whole lot of red rubies on my neck",0
"Okay, let's put my fake face on and pretend now",0
"f*** throwin' that money in the air, I throw my gang up",0
"Hey, hey, hey, hey",1
I wish it wasn't so d*** hard to leave ya (So d*** hard to leave ya),1
"Lug nut, coaster, lung, jug, roaster",0
"Little n****, do you got a problem? (What?)",0
All I wanna do is just hold somebody,1
And the vultures all start circling,1
Raised on Biggie and Nirvana,1
Take it easy on my heart,1
"All night and all night and all night, baby",1
And though me and my party days,0
"Tore off the bow in a Bentley, f***ing your h* in her kidney",0
They wanna tame your desire,1
"Somethin' 'bout, somethin' 'bout, somethin' 'bout",1
"Got me down, got me low",0
"I'm sick of this s*** (Sick, sick)",0
But she's looking at,1
(Murda on the beat),0
Gotta give your feet some gravity to get you grounded,1
You know that I've been on a roll,0
n****s throwin' stones at my glass house (Whoa),0
"No, they don't speak our language",1
You know we need it like the air we breathe,1
n**** still had to pay for it (Hah),0
You came to lift me up,1
"Look at my wrist, it's lit now (Woah)",0
"I had to tighten the f*** up, but I'm here for the crown, crown, crown, crown",0
But I'm rockin' with my shooters and that's mandatory,0
I need the alc' 'cause I'm allergic to the cuffin' (Bah),0
"Baby, what's it gonna hurt if they don't know?",1
I can hang with anybody,1
Will the stars align?,1
"Knowin' nothin' in life, but I gotta get rich",0
She like them bottles with bubbles in it,0
"I don't wanna go outside, get caught in traffic, traffic",0
Ridin' my bike like I'm too young to drive,1
I do the dash with the blues on the deck,0
Smokin' while I'm strollin' down Wooster,0
Everything comes back to you,1
And I'm down for you always,0
Hardly excuses how you play with mine,0
"I'm a savage, yeah (Savage, okay)",0
"And, oh, I know you feel the lightnin'",1
'Cause I'm the best baby that they never gotta keep,1
Don't need permission,1
Was it all too much or just not enough?,1
Living at our mom's house,1
Send my love to your new lover,1
"When we arrive, we probably won't leave, ah",0
You already know who it is,0
"Lil biddy b****, do the math (yeah, tell 'em)",0
You were the one thing in my way,1
'Cause I already cried enough,1
First young n**** in the A with two Lams,0
"He, won't touch you like I do",1
And I won't let 'em fall through,1
"I ain't no f***ing stuntman, Evel Knievel",0
"On my line, sending mirror pics of you fresh out the shower",1
"It's burning up in here, we 'bout to start a fire",1
'Cause n****s started talkin' to me like I'm slowin' down,0
"I just took the doors off the 'Ghini, now I'm ridin'",0
I'mma disappear when they come for me,1
"Heard you got a bad rep, baby, don't ya? (Ayy, ayy)",1
Flawless diamonds,1
Love and happiness,0
"For someone to love me, for someone to love me",1
"Father, I stretch",0
Watermelon sugar high,1
"Not takin' a break, I'm not stoppin' again (Yeah, woah, yeah)",0
"I ain't sorry, n****, nah",1
"The way I used to love you, oh",1
If you could see it from the front,1
Kill these n****s every day like they Kenny,0
You call me all friendly,1
I get that bag on the regular (Bag),0
"Got all my pockets filled with hundreds, doin' the murder man (Let's go)",0
We've been letting it slide by holding inside,1
Kiss somebody who's not my type,1
Don't tell me what to do,1
"Oh no, there you go, you're making me a liar",1
What does it matter if I lie to you?,1
"And you can't spell fame, without me",0
"Tryna see if shawty on my d***, wonder what she doin'",0
All these people mad at dude,0
"I don't like nobody but you, I hate everyone here",1
"Swervin' in that Lambo', doors go up, not on a bus now",0
"I probably would, I probably wouldn't",0
Can I call you mine? (Ooh),1
Sola la pasa mejor (Pasa),1
"You know you can't control me, baby, you need a real one in your life",0
Trust in me when I say,1
"You don't make it ring, ring, ring, ring",0
"I'll go with you, I'll go with you, yeah",1
"Running with a pack of wolves, ain't no extorting (no extorting)",0
"It's okay, it's okay",1
I don't know what made 'em doubt me (Yeah),0
Well I know when you're around 'cause I know the sound,1
"Look in yo eyes, s*** is dangerous",0
And I know you wouldn't...,0
All the stars are closer,1
I'm too rich to get into a fight (too rich),0
Maybe I can fake it,1
"Beat it up, you gotta pay to play (Beat it up)",0
I'm just tryna change your life,0
"Gonna love myself, no, I don't need anybody else",1
I'm not claiming to (I'm not claiming to),1
"I bought a 'Claren, didn't wanna buy verts, uh",0
"In the end, it's him and I",0
We keep goin' higher,0
Only come around and f*** with me when the boy winnin',0
"Babe, welcome to my world, dark and confusin'",0
"Grateful I had all the patience, hey",0
The same one you wore when we were,1
Sometimes I wonder when you sleep,1
"Alright, I'll take it on, take it on me",1
"d***, my AP goin' psycho, lil' mama bad like Michael",0
"Big drip, what you call it? (Big drip, big drip, yeah)",0
All I know is put it up and keep on workin',0
"I'm talkin' Time, Rolling Stone, and Bazaar now (Bazaar now)",1
Baby you were mine to lose,1
That just pushed me to do the things we all couldn't,0
"Talkin' down to me, I'ma have to crack your nose for crackin' jokes",0
"Rotate 'em, all these hoes on shuffle",0
I got a voice in my head that keeps singing,1
"Mmm, when you're with me, no judgement",1
"Mason Margielas under the bed screamin', ""Rock me, kid"" (Woah)",0
I hope you never ever felt more free,1
That's what girls like,1
"Those of you that don't believe, quiet, you don't know a thing",0
"Girls is my sons, I'm givin' them milf teas",1
I can't tell you s*** about losin' (R.I.P.),0
"Tell me what your life like, turn it down, a bright light",0
End up runnin' back into them all,0
Crystal balling just to help him see,1
"b****, I'm a savage, yeah (Okay)",0
"Tell her that she beautiful every day, I remind her",0
Now you belong to me,1
"I don't even know what that's about, watch your mouth",0
You cannot break down what can't be broken,0
"Nah to the ah to the, no, no, no",1
"Handout, palm up, you cannot get this s*** here for free, nah",0
"Remy Boyz, they know us",1
"Not 'bout the set, but it's more 'bout respect",0
"Last time that you hit me up, I wrote this",1
"There's an evil night air, the stars don't shine tonight, (night)",1
My brothers blow your block down,0
To see your sad and teary eyes,1
"Everyone showin' up, where was you in the beginnin'?",0
"So let me tell you all the things he never told you, yeah",1
"Yo quiero, yo quiero dinero, ay",1
"And oh, I gotta keep, keep on breathin'",1
"(Add it up, add it up, add it up, add it up, yeah)",0
"We get high to pass time, but b****, I ain't no fiend (I ain't no fiend)",0
My head is spinnin',0
Until he cut you off,1
"I switched the time zone, but what do I know?",0
I'm somewhere else secluded (Secluded),0
"Brandon finessed on the beat, but I just did a city (Yeah)",0
She weren't tryna move bait when our eyes locked,0
The shell of a man who could never be his best (Be his best),1
You've been looking for,1
"Ashanti the shoes, she get it",0
Somehow you turned into my girlfriend (My girlfriend),0
I lock the door (Lock the door) and throw out the key,1
"Deep inside me, I'm fading to black, I'm fading",1
"This s*** ain't fiction, it's too real, too real",0
And you know d*** well,0
And I can't wait 'til we can break up out of here,1
Tell me how you want it,1
Just so we can be secluded,0
"But when it heals, it beats for you",1
"Yeah, we are never, ever going home",1
You left your burn (In my heart),1
I sit back and sip a tea (Sip a tea),0
And now it's all good baby,1
"Drippin', my sweatsuit Givenchy",0
"I just want the green, want the money, want the cash flow",1
"Baby, would you love me less (Love me less)",1
I be with b****es that know the b****es,0
"You prolly think that you are better now, better now",0
"Disobey me, then baby, it's off with your head",1
"If you let that broke n**** f***, we tellin' (Rich sex)",0
"And I could try to run, but it would be useless",1
Haciendo historia,1
"We'll be living in a dream, yeah",1
I'll walk through Hell with you,1
"Painted all black, the interior butter",0
